ImageId, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, AspectRatio, FocalLength, RadialDistortionK1, RadialDistortionK2
0, -4.58839, -3.91371, 0.112752, -0.749000725700063, 1.30972148092353, -1.59555392323209, 1.33333, 0.806712, 0.0137529, -0.0139092
1, -4.59526, -3.91402, 0.103017, -0.675576140749104, 1.43848649809778, -1.68069409964139, 1.33333, 0.813902, 0.0197074, -0.0202038
2, -4.60059, -3.91893, 0.0988911, -0.650523588807515, 1.4817918816874, -1.68112623694385, 1.33333, 0.816765, 0.0222625, -0.0228807
3, -4.637, -3.94436, 0.0919021, -0.525614882007088, 1.58963761485321, -1.85314802409675, 1.33333, 0.816606, 0.0215217, -0.0219643
4, -4.6545, -3.94694, 0.087941, -0.413065352836806, 1.70538167471421, -1.98390118413142, 1.33333, 0.816836, 0.0216086, -0.0219589
5, -4.69032, -3.9572, 0.085514, -0.245103043080003, 1.79712304480515, -2.18453266229869, 1.33333, 0.818113, 0.0211662, -0.0215585
6, -4.75966, -3.97956, 0.0881229, 0.00628941184354931, 1.9415858431294, -2.39528338072827, 1.33333, 0.81663, 0.0242395, -0.0243624
7, -4.83361, -3.9639, 0.0866367, -0.242588284888014, -1.88736298427131, 2.30999119159418, 1.33333, 0.817658, 0.0235595, -0.0235416
8, -4.8692, -3.92195, 0.125942, -0.324105028244626, -1.81520000917301, 2.35675838928464, 1.33333, 0.818134, 0.0236017, -0.0235594
9, -4.90685, -3.91457, 0.14007, -0.40212494484133, -1.75893641106902, 2.31323236547064, 1.33333, 0.81894, 0.0232575, -0.0233333
10, -4.91413, -3.91153, 0.139413, -0.440902522785722, -1.65006979808532, 2.3308367849326, 1.33333, 0.818253, 0.0224111, -0.0222993
11, -4.95506, -3.85757, 0.143394, -0.551174353146021, -1.54019122665918, 2.19282404849834, 1.33333, 0.819675, 0.0225386, -0.0226699
12, -4.97722, -3.86906, 0.126517, -0.595333590092223, -1.53496006845992, 2.11599355802414, 1.33333, 0.819426, 0.0228464, -0.0230593
13, -4.98132, -3.85516, 0.116471, -0.709387880458392, -1.54883670623612, 2.16296366389573, 1.33333, 0.81967, 0.0232358, -0.0234523
14, -4.98524, -3.81277, 0.111304, -0.836611814669949, -1.32005916403559, 2.23786459046927, 1.33333, 0.819497, 0.0229061, -0.023059
15, -5.00492, -3.82767, 0.10903, -0.762655513342504, -1.60256866857759, 1.73625556079425, 1.33333, 0.81789, 0.0224516, -0.0223363
16, -4.92518, -3.85778, 0.111425, -0.591880641518513, -1.75870191325366, 1.92509773739479, 1.33333, 0.820142, 0.0229474, -0.0233042
17, -5.05914, -3.82338, 0.124123, -0.901092786096645, -1.46582196999695, 1.50265431814859, 1.33333, 0.818702, 0.0197812, -0.0196583
18, -5.10297, -3.70026, 0.129254, -1.13342946040029, -1.18972888318536, 1.27291333590977, 1.33333, 0.81587, 0.0203423, -0.0203608
19, -5.1154, -3.6236, 0.143701, -1.19296014270689, -1.01830487252868, 1.05952195784771, 1.33333, 0.815635, 0.0233223, -0.0236815
20, -5.0818, -3.5435, 0.140123, -1.26308102058902, -0.788156215397203, 0.832822673866015, 1.33333, 0.817081, 0.0240381, -0.0241096
21, -5.0569, -3.48372, 0.140596, -1.33902180975387, -0.643171957894877, 0.683552888909027, 1.33333, 0.816566, 0.0223851, -0.0224412
22, -5.03375, -3.42743, 0.137604, -1.40825303176465, -0.466631232585672, 0.460062551249876, 1.33333, 0.816201, 0.0211231, -0.0209781
23, -4.94044, -3.40299, 0.134137, -1.44204304331246, -0.247799165023482, 0.246628705841994, 1.33333, 0.818768, 0.0206666, -0.0205911
24, -4.8807, -3.36344, 0.129635, -1.43822287551074, -0.110076785041157, 0.0924156793718807, 1.33333, 0.818269, 0.0215369, -0.0218018
25, -4.86255, -3.32527, 0.119516, -1.46227427211137, -0.00417156592363712, -0.0322734224712137, 1.33333, 0.816134, 0.0213388, -0.0211486
26, -5.03896, -2.8135, 0.140371, -1.45680457672578, 0.317054314112698, -0.33965907970767, 1.33333, 0.81964, 0.0193942, -0.0195013
27, -4.65253, -3.55421, 0.215266, -0.363728852876334, 1.42514378815451, -2.18189178940515, 1.33333, 0.816647, 0.0233099, -0.0235755
28, -4.71475, -3.56082, 0.214339, -0.175787979694052, 1.49551082153651, -2.35496721504648, 1.33333, 0.818866, 0.0218865, -0.0224495
29, -4.74604, -3.56339, 0.20436, -0.12845393093542, 1.54391011132793, -2.4012742256229, 1.33333, 0.819402, 0.0212289, -0.02161
